query_id,candidat_id,system,n_relevant_in_pool,precision@1,recall@1,ndcg@1,mrr@1,hit_rate@1,precision@3,recall@3,ndcg@3,mrr@3,hit_rate@3,precision@5,recall@5,ndcg@5,mrr@5,hit_rate@5,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10
PPBZV2501100016669,PPBZV2501100016669,pgvector_only,12,1.0,0.08333333333333333,1.0,1.0,1.0,0.3333333333333333,0.08333333333333333,0.46927872602275644,1.0,1.0,0.6,0.25,0.6164336326286644,1.0,1.0,0.5,0.4166666666666667,0.5370079586075637,1.0,1.0
PPBZV2501100016669,PPBZV2501100016669,pgvector_plus_graph,12,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0
PPBZV2501070016274,PPBZV2501070016274,pgvector_only,10,1.0,0.1,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.6,0.3,0.7227265726449519,1.0,1.0,0.3,0.3,0.4690000933206748,1.0,1.0
PPBZV2501070016274,PPBZV2501070016274,pgvector_plus_graph,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2501220017971,PPBZV2501220017971,pgvector_only,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.2,1.0,0.5,0.3333333333333333,1.0,0.1,1.0,0.5,0.3333333333333333,1.0
PPBZV2501220017971,PPBZV2501220017971,pgvector_plus_graph,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
PPBZV2501080016367,PPBZV2501080016367,pgvector_only,9,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.5,1.0,0.4,0.2222222222222222,0.36005461457723403,0.5,1.0,0.4,0.4444444444444444,0.40400651350272343,0.5,1.0
PPBZV2501080016367,PPBZV2501080016367,pgvector_plus_graph,9,1.0,0.1111111111111111,1.0,1.0,1.0,0.6666666666666666,0.2222222222222222,0.7039180890341347,1.0,1.0,0.6,0.3333333333333333,0.639945385422766,1.0,1.0,0.6,0.6666666666666666,0.6639368874155674,1.0,1.0
PPBZV2501090016461,PPBZV2501090016461,pgvector_only,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
PPBZV2501090016461,PPBZV2501090016461,pgvector_plus_graph,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2501060015934,PPBZV2501060015934,pgvector_only,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.14606834984270645,0.25,1.0,0.1,0.14285714285714285,0.11838279295536293,0.25,1.0
PPBZV2501060015934,PPBZV2501060015934,pgvector_plus_graph,7,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.2960819109658652,0.5,1.0,0.6,0.42857142857142855,0.4912596920895758,0.5,1.0,0.5,0.7142857142857143,0.5603502317119197,0.5,1.0
PPBZV2501100016587,PPBZV2501100016587,pgvector_only,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877,0.125,1.0
