duplicate_candidate_key,duplicate_candidate_count,duplicate_candidate_rank,source_row_number,offre_id,titre_poste,employeur,ville_region_raw,secteur_activite_raw,etl_completeness_score
ea4740a4b0e94566a97e,2,2,9680,OFFRE_009680_7b30a2575327,PRODUCT SALES MANAGER – ABIDJAN,MELT GROUP,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
d510dd65e57b6b9bbc4b,3,3,9681,OFFRE_009681_b5012803eece,Responsable Marketing,APC ASSOCIATION POUR LA CULTURE,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
4ae15f4dc5d744cde7f5,2,2,9682,OFFRE_009682_8b9759965cbd,Accounts manager,Primland,Cameroun (ville non précisée),Tourisme / Hôtellerie / Loisir / Restauration,1.0
5d5a2a2f112b3c476bfe,2,2,9683,OFFRE_009683_3a7617653a64,Receptionist,Primland,Cameroun (ville non précisée),Tourisme / Hôtellerie / Loisir / Restauration,1.0
c473a46bb77f4eff7d4f,2,2,9684,OFFRE_009684_5bbd35bf3e07,Reservation Manager,Primland,Cameroun (ville non précisée),Tourisme / Hôtellerie / Loisir / Restauration,1.0
8328b7b289f6d0739856,2,2,9685,OFFRE_009685_a5d1ab86daf9,comptable H/F,HELIS ENTERTAINMENT,Cameroun (ville non précisée),TIC / Télécommunications,1.0
8e7c18b77e36e22af9e2,2,2,9696,OFFRE_009696_aad4d4fcd7da,Chef de Chantier Terrassement,MELT GROUP,Cameroun (ville non précisée),Construction/ Immobilier,1.0
083fd826c5b5b8e7595d,3,1,9697,OFFRE_009697_b16a5ed0a2c3,Assistant Marketing,GROUPE OBERLIN,Cameroun (ville non précisée),Marketing / Publicité,1.0
23285c3e3630831fcc69,3,1,9698,OFFRE_009698_47c885fdfdfd,RESPONSABLE DE CENTRE D’AFFAIRES H/F,ADRH APAVE,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
5ffd91e159b71d6470d8,3,1,9699,OFFRE_009699_c54f8bbc4fa7,Responsable Magasins Matières Premières,CHOCOCAM,Cameroun (ville non précisée),Logistique / Transport,1.0
a421c33571ee3ce919c9,3,1,9700,OFFRE_009700_b7f0419a85e4,CONSEILLER(E) CLIENTÈLE,TRUST AFRICA,Cameroun (ville non précisée),Légal,1.0
4f488fec67cb5f19d80a,3,1,9701,OFFRE_009701_bd997ccd514f,Standardiste (F/H),CHOCOCAM,Cameroun (ville non précisée),Autre,1.0
c3afb1eed12e64911e5f,3,1,9702,OFFRE_009702_ce3b2babda1f,PROGRAMME JEUNES ADMINISTRATEURS DE L'UNESCO,Elaine,Cameroun (ville non précisée),ONG / Organisation internationale,1.0
2a25b0e227aff43afb10,3,1,9703,OFFRE_009703_9b647e3c5962,Chargé de Clientèle,SAI LA TOILE CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
26c59e2a0729f3c87fdc,4,2,9704,OFFRE_009704_d26e2e066f2e,Directeur du Marché des PME/PMI H/F,ADRH APAVE,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
853362431b9eae61fc06,4,1,9705,OFFRE_009705_04644e276120,Directeur Technique Assurance Vie H/F,ADRH APAVE,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
0efd8823422c063b0767,3,1,9706,OFFRE_009706_1fb67eb1da98,Rédacteur Web (H/F) - Job Etudiant,JOB ETUDIANT,Cameroun (ville non précisée),TIC / Télécommunications,1.0
c0f4a3b802e07fec8b80,3,1,9707,OFFRE_009707_5fe73d73dd28,Offre de stage - Développeur Mobile IOS / Android,BINGHANA LTD,Cameroun (ville non précisée),TIC / Télécommunications,1.0
7bc8004dd705ea59becb,3,1,9708,OFFRE_009708_a2a89b045026,Web Developer,PEERS EXCHANGE CAMEROON,Cameroun (ville non précisée),TIC / Télécommunications,1.0
a9914a099e360307fa6b,3,1,9709,OFFRE_009709_41ef155101d5,Infirmier / Infirmière - Yaoundé - Ngoa Ekélé,Employeur non précisé,Yaoundé,Santé,1.0
cf301b39b7fbe767c31e,3,1,9710,OFFRE_009710_a04b66506c85,Commercial Transport,LGL TRANSPORT,Yaoundé,Distribution / Commerce de gros / Commerce de détail,1.0
8664823dcc19a8bd40c0,2,1,9711,OFFRE_009711_250b019e5a05,Assistante de Direction,UPGRADE GROUP,Cameroun (ville non précisée),TIC / Télécommunications,1.0
895b4db03cf92782cf59,2,1,9712,OFFRE_009712_62f79d211615,RESPONSABLE DE PLAIDOYER-COMMUNICATION - Yaoundé,CRADEC,Yaoundé,Légal,1.0
3818a5b48ef98a940c0c,2,1,9713,OFFRE_009713_9b3a25cb56b3,Commercial (H/F) - Douala,CREATIVE DECO & EVENTS,Douala,Distribution / Commerce de gros / Commerce de détail,1.0
c723a69e4907e5df3e44,2,1,9714,OFFRE_009714_df75094b2ec0,Stage pré-emploi Technicien Agronome,AGRIBUSINESS,Cameroun (ville non précisée),Autre,1.0
