entity_kind,entity_id,label_fr,umap_1,umap_2
COMPETENCE,http://data.europa.eu/esco/skill/47ba3c04-2039-42d1-be10-d6325fdfafad,entretenir un sol carrelé,-1.4232746,-2.2633474
COMPETENCE,http://data.europa.eu/esco/skill/b36176ec-3499-4235-a15c-cb485a386dc6,assembler des séquences vidéo,-1.9045229,-1.437402
COMPETENCE,http://data.europa.eu/esco/skill/2c06746f-0dbf-4319-a50b-ea46ad103af4,examiner des pare-brises endommagés,-0.9180061,-2.4482157
COMPETENCE,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a,traitement automatique du langage naturel,-2.1269176,2.332392
COMPETENCE,http://data.europa.eu/esco/skill/99981dbd-6f0f-495d-a67f-20ad0f9ef6f3,supports d'impression,-2.1686804,-2.5981896
COMPETENCE,http://data.europa.eu/esco/skill/d350bfa6-ae99-433a-a138-1a16f8f93d33,utiliser du matériel de transformation des viandes,-0.6896585,-2.8780706
COMPETENCE,http://data.europa.eu/esco/skill/4417fc7d-e189-4c35-bbc0-f57725a8dab4,étiqueter des courroies,-1.4457641,-2.5064738
COMPETENCE,http://data.europa.eu/esco/skill/2d5cb9a6-0ad0-4686-8de5-e22cc9abc76f,assurer la liaison avec les organisations sportives,-2.1968968,0.06414041
COMPETENCE,http://data.europa.eu/esco/skill/8a326ee1-169c-4c44-b38b-8f1bb20ec79b,détecter des erreurs comptables,-0.24405265,-2.3777502
COMPETENCE,http://data.europa.eu/esco/skill/162c2e87-3d6f-4f7e-ab3c-97694c2f6f08,programmer des approvisionnements en écloserie,-1.5341656,-0.5387911
COMPETENCE,http://data.europa.eu/esco/skill/e286eddc-75e5-4ae3-966b-ec89c1c046ba,anatomie des animaux,0.6508717,-1.2775424
COMPETENCE,http://data.europa.eu/esco/skill/20afa37b-4b6d-49c1-81c6-2941dd2762ab,utiliser du matériel d’éclairage,-2.3103704,-1.6356176
COMPETENCE,http://data.europa.eu/esco/skill/c796e1fa-cbbd-4639-b8d9-cbcdc130c7a2,traiter le matériel électrique reçu,-0.008830214,-3.3245118
COMPETENCE,http://data.europa.eu/esco/skill/5254410a-5817-4da8-a93f-0c29a908b2be,types de pelliculeuses,-1.0529853,-3.0840104
COMPETENCE,http://data.europa.eu/esco/skill/e0ae07ce-d601-407c-b351-17d11ab8e846,installer des équipements de sécurité de navires,0.095298685,-0.70493996
COMPETENCE,http://data.europa.eu/esco/skill/a933a46f-d4d8-4e96-a7f7-345725111bfa,rédiger des rapports d’analyse de la contrainte-allongement,-1.2795866,-1.2118428
COMPETENCE,http://data.europa.eu/esco/skill/946034bf-be2b-4568-b3d5-5988735e26e8,avoir une bonne diction,-1.0913563,-1.6797124
COMPETENCE,http://data.europa.eu/esco/skill/1a489f62-88ea-490f-a46e-864161ed6ca2,gérer les ressources d’une gare de triage,0.6841729,-4.166591
COMPETENCE,http://data.europa.eu/esco/skill/3013c7d0-b22b-43b0-9318-c0e8eca25c78,superviser le mouvement des passagers,-0.73134184,-1.4489517
COMPETENCE,http://data.europa.eu/esco/skill/bdc65e93-5949-4682-9b75-d36f4bf084c2,processus de brassage,-0.2738275,-2.9194114
COMPETENCE,http://data.europa.eu/esco/skill/64c626b1-0078-4958-bbde-86b5cf2b18fa,préparer du matériel de récolte,-0.8315214,-3.6100004
COMPETENCE,http://data.europa.eu/esco/skill/0f2eee6f-2203-4cc8-9d79-854d2d5d8131,utiliser des techniques de questionnement,-2.3286521,1.3123027
COMPETENCE,http://data.europa.eu/esco/skill/feda7c1a-7339-4d1a-a705-4123e4a2df3e,peser les ingrédients d’un vernis,-0.8586343,-2.4275622
COMPETENCE,http://data.europa.eu/esco/skill/a1d24f87-230e-4b4c-8107-dccf81316364,évaluer des projets de développement minier,0.60094386,-3.1698627
COMPETENCE,http://data.europa.eu/esco/skill/4b04a0ea-d5a8-4fab-9ff7-c1befe2a57f1,effectuer un massage des tissus en profondeur,0.33081836,-1.2508754
COMPETENCE,http://data.europa.eu/esco/skill/4c08e39a-1a4b-4ab9-98f8-97d975850fb1,utiliser des couteaux de sculpture sur bois,-1.9065267,-2.6286993
COMPETENCE,http://data.europa.eu/esco/skill/8496d258-bf95-4041-a3d7-1cc19b629d14,se mettre en relation avec des experts de l’industrie,1.0187497,-2.5081081
COMPETENCE,http://data.europa.eu/esco/skill/727aeb22-40ef-45af-822d-3c72263a2bd9,techniques de fabrication de bougies,-0.97116756,-3.5552213
COMPETENCE,http://data.europa.eu/esco/skill/f3f15fe4-3e74-4cc2-b0ac-71a330885e3e,identifier les marchandises endommagées avant leur expédition,-0.9001807,-2.3018892
COMPETENCE,http://data.europa.eu/esco/skill/23d124d7-d9a7-421f-ab7a-fb077c430956,entretenir des noyaux,-1.8250132,-2.1934855
COMPETENCE,http://data.europa.eu/esco/skill/1db2b4ac-9459-48c6-9cb4-3759e5af39eb,gérer l’affectation des lignes de bus,0.0769396,-4.0888386
COMPETENCE,http://data.europa.eu/esco/skill/2a456cc5-683f-4eeb-ba20-5a523ac56112,offrir des échantillons gratuits de produits cosmétiques,-0.43925318,-2.146473
COMPETENCE,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,interpréter les diagrammes de circuits,1.1254045,-2.422944
COMPETENCE,http://data.europa.eu/esco/skill/34d734d5-2179-49e7-b641-96121f49231c,transférer de la cire,0.3345667,-3.7526033
COMPETENCE,http://data.europa.eu/esco/skill/05cd9341-0d92-4bcc-983c-bf47132ac3f8,superviser les employés d’usines de production alimentaire,0.081251785,-2.3822336
COMPETENCE,http://data.europa.eu/esco/skill/c9026b8f-7c5c-44b4-9e59-ae1e72fb29c0,ouvrages en bois,-0.63011336,-2.5779622
